,Job Title,min salary,max,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
1320,SQL Data Analyst,24000.00,48000.00,"Dallas, TX","New York, NY",51 to 200 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Robert Half, Insight Global",-1
1321,Data Science - Analyst/Associate - Security Incident Response Team,24000.00,48000.00,"Dallas, TX","New York, NY",10000+ employees,1869,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"J.P. Morgan, Merrill Lynch, Morgan Stanley",-1
1322,Game Data Analyst,24000.00,48000.00,"Richardson, TX","Richardson, TX",1 to 50 employees,-1,Company - Private,Audiovisual,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,-1,-1
1323,"Analyst, Data Intelligence",24000.00,48000.00,"Dallas, TX","Dallas, TX",501 to 1000 employees,1957,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,-1
1324,HR Data Analyst II,24000.00,48000.00,"Dallas, TX","New York, NY",1001 to 5000 employees,1914,Company - Private,Financial Analytics & Research,Finance,$10+ billion (USD),-1,-1
1325,Data Analyst,24000.00,48000.00,"Dallas, TX","Plano, TX",1 to 50 employees,-1,Contract,-1,-1,Unknown / Non-Applicable,-1,-1
1326,Data Analyst,24000.00,48000.00,"Dallas, TX","Richardson, TX",1001 to 5000 employees,1995,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,-1
1327,DATA ANALYST,24000.00,48000.00,"Dallas, TX","Dallas, TX",201 to 500 employees,-1,Government,Municipal Governments,Government,$50 to $100 million (USD),-1,-1
1328,Data Science – Analyst/Associate - Security Incident Response Team,24000.00,48000.00,"Dallas, TX","New York, NY",10000+ employees,1869,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"J.P. Morgan, Merrill Lynch, Morgan Stanley",-1
1329,IGNITE Graduate Development Program - Application Developer / Data Scientist / Business Analyst,24000.00,48000.00,"Irving, TX","Bezons, France",10000+ employees,1919,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Accenture, Capgemini",-1
1330,Data Analyst,24000.00,48000.00,"Irving, TX","Irving, TX",1 to 50 employees,-1,Company - Public,IT Services,Information Technology,Less than $1 million (USD),-1,-1
1331,Data Analyst (HR),24000.00,48000.00,"Arlington, TX","London, United Kingdom",10000+ employees,1994,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),"ALDI, Tesco, Carrefour",-1
1332,Data Analyst,24000.00,48000.00,"Dallas, TX","Nokia, Finland",10000+ employees,1865,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),"Ericsson-Worldwide, Huawei Technologies, Microsoft",-1
